"","NF48_NF54","NF54_NF66"
"olig2.S",460.939891019646,54.0720054333008
"sox10.L",265.623948211069,339.921074260846
"sox10.S",196.476152933462,215.395114697938
"myrf.L",62.4834385168624,4.34296280760025
"kank1.S",22.5894493134187,7.94985404491314
"mxd4.S",15.5386668799226,7.07821548435064
"jarid2.L",14.8575788876802,7.34680979119119
"tub.S",12.6711080315003,6.38788194225024
"pou3f3.S",8.27121514703655,3.67037563455217
"kank1.L",7.26859879670489,1.81723787419566
"nfib.L",5.63263682216319,1.29594954352166
"arnt2.L",5.49069640452903,4.17870631443821
"sox13.S",5.33741158126849,6.14624783289934
"sall1.L",3.33094664243219,0.767066730616167
"zeb2.S",2.89500690425529,1.50533824016966
"bhlhe40.S",2.87957954774802,3.0278636667466
"erf.L",2.57532563651828,2.84976480483021
"sox8.L",2.14079842533799,3.63442537166243
"etv1.L",1.88399777040009,0.494391454115246
"sox8.S",1.80032332805232,0.22954679854
"lrrfip2.L",1.61587027275658,1.45137837078242
"egr2.L",1.59557690171003,8.51106283259471
"st18.L",1.35902793486417,0.0691497392289977
"csrnp1.L",1.00449573136606,2.01620224457983
"jarid2.S",0.979269012709794,1.26822083959336
"junb.L",0.944406506518619,3.22555970621462
"jun.S",0.920699888959972,2.66578596257183
"nr1d1.S",0.839720465040484,3.8231585333192
"nr1h2.L",0.824468117891485,1.64775929677974
"smad7.L",0.628917254553377,2.48580278040153
"fos.S",0.553095225363184,1.6575091938857
"atf4.S",0.518773314050158,1.07139893139908
"jun.L",0.48874759294477,2.0510611575921
"klf12.L",0.471164062419229,1.01616817013345
"sfpq.L",0.3941814937025,1.08810924887144
"mlx.L",0.37765669802452,1.07884769482637
"egr1.S",0.37152289992142,1.0085713896579
"bhlhe40.L",0.346645817497448,1.49036232768991
"st18.S",0.305911380259315,1.00967675114507
"id2.S",0.283621080053005,2.21837402199955
"junb.S",0.278667632616228,1.42821798041288
"hey1.L",0.278032920619458,1.51083034306141
"atf4.L",0.248641721097129,1.02321055844395
"ddit3.L",0.198373616004778,1.06770374268139
"nr4a2.L",0.174387577264379,1.08838833706707
"tmf1.S",0.152371403314623,0.234525663316897
"nr4a2.S",0.122244440443074,1.32157698883688
"pias2.L",0.0243625454417886,0
"phb.S",0.00933051037916538,0.00380751375711774
"nme2.L",0.00409001731158106,0
"hey1.S",0,1.04608527927858
"nr2f5.S",0,1.42143511832451
"dach1.L",0,0
"dach1.S",0,0
"esrrg.L",0,0
"esrrg.S",0,0
"foxi1.L",0,0
"foxi1.S",0,0
"foxk2.L",0,0
"gata3.L",0,0
"gata3.S",0,0
"hnf1b.L",0,0
"hoxb7.L",0,0
"hoxb7.S",0,0.124956619485174
"hoxd3.S",0,0
"hoxd8.L",0,0
"hoxd9.L",0,0
"hoxd9.S",0,0
"lhx1.S",0,0
"mecom.L",0,0
"myb.S",0,0
"nfyc.S",0,0
"nr1i2.L",0,0
"pax2.L",0,0
"pax2.S",0,0
"pou3f4.L",0,0
"pou3f4.S",0,0
"tbx2.L",0,0
"tfap2a.L",0,0
