"","NF48_NF54","NF54_NF59"
"grhl1.S",109.234166527926,63.5327974854451
"rora.L",93.154493546108,225.69662853135
"gcm1.L",64.5945245179957,17.3511090806672
"bhlhe40.S",48.5829727124974,18.0183206658636
"grhl3.L",44.7951203793036,36.1794108114184
"nr4a2.S",28.3631209137925,18.551376502791
"klf2.L",25.5208988859113,9.72620520081633
"grhl1.L",24.215935152838,9.19842902794418
"bhlhe40.L",22.5916908689805,19.1923420190422
"nr1i2.L",20.6755068073168,15.8907284331717
"hopx.S",19.9205315379039,23.7067898667681
"nr4a2.L",17.905577145235,14.8363111568893
"znf750.S",17.1622124313803,4.84625442090558
"grhl3.S",15.584222580435,6.93236264033141
"plscr1.L",12.3250763330463,20.0997075271083
"znf534.L",10.9613929575399,9.09066659639473
"foxq1.S",8.24698408798174,7.58476872987609
"znf750.L",7.25349950291472,0
"tfap2a.L",6.86971610145683,2.84981513697434
"gcm1.S",6.62637346939904,3.46026525978588
"thap4.S",6.24591587911358,6.44636202725356
"atf4.L",6.17639290344117,4.42383090949081
"klf2.S",5.41039353075836,1.92249493810371
"creb3l4.S",4.28689118948909,2.65639990447595
"tef.L",3.63760108585941,8.0651268122133
"klf4.S",3.33897159253166,6.62838818921996
"sox7.L",3.31522585965597,2.88777559288037
"fosl1.S",3.02167619708403,2.08539336734724
"nme2.L",2.71352017138839,2.40797790246811
"junb.L",2.5550619941224,1.37451773292484
"tfe3.S",2.52530892922767,1.90307679410782
"atf4.S",2.44002857889786,2.14937523157284
"tp53.L",2.38397240019882,2.29253140698383
"irf5.L",2.37926547713206,1.75983885193727
"fos.L",2.37534184251277,0.27677545020375
"jun.L",1.94819166016759,1.39842943875787
"hmgb2.L",1.84495043967463,0.538340155632455
"csrnp1.L",1.81476257055114,2.37996065205669
"sfpq.S",1.80663784379026,1.77984406895782
"fosl2.S",1.63104696853272,1.71323693849496
"hic2.S",1.55344750443633,2.85625658390049
"mlx.L",1.513373800982,1.98498848175753
"creb3l4.L",1.41642282152811,0.624355407289495
"smarce1.L",1.30733435024516,1.38898754812059
"tfap2a.S",1.26964205389301,0
"tax1bp1.L",1.24616521534448,1.84186376816644
"hmgb2.S",1.23777247197919,0.442191707512202
"irx2.L",1.1671255232651,0
"mycl.L",1.16698113013558,1.2553173500311
"arid3a.L",1.11100984077282,0.802520420810225
"bcl6.S",1.02702211315237,1.20536691789377
"creb3.S",0.980131998015364,1.16984977018778
"nfkb2.S",0.875764909638858,1.2174093764551
"klf3.L",0.873289455170072,1.19397794823967
"nfe2l2.L",0.828320063393951,1.18651640214954
"jun.S",0.819739815138604,0.658057862625386
"rora.S",0.810504838315301,9.07530498720794
"blzf1.L",0.788633743056265,1.42943801549004
"nfe2l1.S",0.784106514443678,1.11995519305071
"hic2.L",0.608028702022504,1.25097819037081
"znf326.L",0.579725694113976,1.11510434727231
"elf1.L",0.565216931224912,2.011624077906
"ybx2.L",0.551608015362763,1.03010093274107
"myef2.L",0.495309982275719,0.230399243840486
"stat2.L",0.478686609511283,2.05412481398647
"zfp91.S",0.469489834677666,1.27205428791546
"rara.S",0.435355561458033,2.54954178214605
"stat1.L",0.403727349640988,1.56692533694399
"ssrp1.S",0.399530544033509,0.291998686442525
"cebpg.S",0.33530667296963,1.27956880244877
"sfpq.L",0.294367104262726,0.346264891479504
"tsc22d3.L",0.254201647081763,0.0609499091863439
"znf326.S",0.244466496436217,0.435305789881383
"hmgb3.L",0.104000334848907,0.114215036251195
"znfx1.L",0.0342741096379276,4.73392905463934
"stat1.S",0,4.55634067971515
"trps1.L",0,1.01660606149863
"zbtb7c.L",0,5.29837508395884
"znf518b.L",0,1.1908342365942
"arnt2.L",0,0
"baz2b.L",0,0
"baz2b.S",0,0
"carhsp1.L",0,0
"cpeb1.S",0,0
"cux2.L",0,0
"dlx2.L",0,0
"ebf2.L",0,0
"ebf2.S",0,0
"egr4.L",0,0
"etv1.L",0,0
"fezf1.L",0,0
"fezf1.S",0,0
"insm2.L",0,0
"isl2.S",0,0
"jarid2.L",0,0
"lhx2.L",0,0
"lhx2.S",0,0
"myt1.L",0,0
"myt1l.L",0,0
"neurod1.L",0,0
"nhlh1.L",0,0
"npas4.L",0,0
"olig2.S",0,0
"pbx1.S",0,0
"phox2b.S",0,0
"rcor2.L",0,0
"sgsm2.S",0,0
"tcf15.L",0,0
"tub.L",0,0
"tub.S",0,0
"znf219.L",0,0
